 스테이지|일반몹 한마리당 금화 획득량|일반몹 한마리당 혼백 획득량|일반몹 한마리당 영석 획득량|보스몹 한마리당 금화 획득량|보스몹 한마리당 혼백 획득량|보스몹 한마리당 영석 획득량|플레이어 경험치 획득량
Stage|Gold_per_Normalmob|Spirit_per_Normalmob|Spiritstone_per_Normalmob|Gold_per_Bossmob|Spirit_per_Bossmob|Spiritstone_per_Bossmob|Fame_MonsterExp
int|float|float|float|float|float|float|float
1|1.00|1.00|1.00|10.00|10.00|1.00|1.00
2|1.04|1.04|2.00|10.40|10.40|2.00|2.00
3|1.10|1.10|3.00|11.00|11.00|3.00|3.00
4|1.18|1.18|4.00|11.80|11.80|4.00|4.00
5|1.28|1.28|5.00|12.80|12.80|5.00|5.00
6|1.40|1.40|6.00|14.00|14.00|6.00|6.00
7|1.54|1.54|7.00|15.40|15.40|7.00|7.00
8|1.70|1.70|8.00|17.00|17.00|8.00|8.00
9|1.88|1.88|9.00|18.80|18.80|9.00|9.00
10|2.08|2.08|10.00|20.80|20.80|10.00|10.00
11|2.30|2.30|11.00|23.00|23.00|11.00|11.00
12|2.54|2.54|12.00|25.40|25.40|12.00|12.00
13|2.80|2.80|13.00|28.00|28.00|13.00|13.00
14|3.08|3.08|14.00|30.80|30.80|14.00|14.00
15|3.38|3.38|15.00|33.80|33.80|15.00|15.00
16|3.70|3.70|16.00|37.00|37.00|16.00|16.00
17|4.04|4.04|17.00|40.40|40.40|17.00|17.00
18|4.40|4.40|18.00|44.00|44.00|18.00|18.00
19|4.78|4.78|19.00|47.80|47.80|19.00|19.00
20|5.18|5.18|20.00|51.80|51.80|20.00|20.00
21|5.60|5.60|21.00|56.00|56.00|21.00|21.00
22|6.04|6.04|22.00|60.40|60.40|22.00|22.00
23|6.50|6.50|23.00|65.00|65.00|23.00|23.00
24|6.98|6.98|24.00|69.80|69.80|24.00|24.00
25|7.48|7.48|25.00|74.80|74.80|25.00|25.00
26|8.00|8.00|26.00|80.00|80.00|26.00|26.00
27|8.54|8.54|27.00|85.40|85.40|27.00|27.00
28|9.10|9.10|28.00|91.00|91.00|28.00|28.00
29|9.68|9.68|29.00|96.80|96.80|29.00|29.00
30|10.28|10.28|30.00|102.80|102.80|30.00|30.00
31|10.90|10.90|31.00|109.00|109.00|31.00|31.00
32|11.54|11.54|32.00|115.40|115.40|32.00|32.00
33|12.20|12.20|33.00|122.00|122.00|33.00|33.00
34|12.88|12.88|34.00|128.80|128.80|34.00|34.00
35|13.58|13.58|35.00|135.80|135.80|35.00|35.00
36|14.30|14.30|36.00|143.00|143.00|36.00|36.00
37|15.04|15.04|37.00|150.40|150.40|37.00|37.00
38|15.80|15.80|38.00|158.00|158.00|38.00|38.00
39|16.58|16.58|39.00|165.80|165.80|39.00|39.00
40|17.38|17.38|40.00|173.80|173.80|40.00|40.00
41|18.20|18.20|41.00|182.00|182.00|41.00|41.00
42|19.04|19.04|42.00|190.40|190.40|42.00|42.00
43|19.90|19.90|43.00|199.00|199.00|43.00|43.00
44|20.78|20.78|44.00|207.80|207.80|44.00|44.00
45|21.68|21.68|45.00|216.80|216.80|45.00|45.00
46|22.60|22.60|46.00|226.00|226.00|46.00|46.00
47|23.54|23.54|47.00|235.40|235.40|47.00|47.00
48|24.50|24.50|48.00|245.00|245.00|48.00|48.00
49|25.48|25.48|49.00|254.80|254.80|49.00|49.00
50|26.48|26.48|50.00|264.80|264.80|50.00|50.00
51|27.50|27.50|51.00|275.00|275.00|51.00|51.00
52|28.54|28.54|52.00|285.40|285.40|52.00|52.00
53|29.60|29.60|53.00|296.00|296.00|53.00|53.00
54|30.68|30.68|54.00|306.80|306.80|54.00|54.00
