 스테이지,일반 몬스터 체력,일반 몬스터 공격력,일반 몬스터 외공 방어력,일반 몬스터 내공 방어력,보스 몬스터 체력,보스 몬스터 공격력,보스 몬스터 외공 방어력,보스 몬스터 내공 방어력
Stage,Monster_HP,Monster_Attack,Monster_ExtPowArmor,Monster_InnPowArmor,Boss_HP,Boss_Atk,Boss_ExtPowArmor,Boss_InnPowArmor
int,long,float,long,long,long,float,long,long
1.00,90.00,10.00,0.00,0.00,450.00,30.00,0.00,0.00
2.00,96.30,10.09,0.00,0.00,481.50,30.27,0.00,0.00
3.00,103.04,10.18,0.00,0.00,515.21,30.54,0.00,0.00
4.00,110.25,10.27,0.00,0.00,551.27,30.82,0.00,0.00
5.00,117.97,10.36,0.00,0.00,589.86,31.09,0.00,0.00
6.00,126.23,10.46,0.00,0.00,631.15,31.37,0.00,0.00
7.00,135.07,10.55,0.00,0.00,675.33,31.66,0.00,0.00
8.00,144.52,10.65,0.00,0.00,722.60,31.94,0.00,0.00
9.00,154.64,10.74,0.00,0.00,773.18,32.23,0.00,0.00
10.00,165.46,10.84,0.00,0.00,827.31,32.52,0.00,0.00
11.00,177.04,10.94,0.00,0.00,885.22,32.81,0.00,0.00
12.00,189.44,11.04,0.00,0.00,947.18,33.11,0.00,0.00
13.00,202.70,11.14,0.00,0.00,1013.49,33.41,0.00,0.00
14.00,216.89,11.24,0.00,0.00,1084.43,33.71,0.00,0.00
15.00,232.07,11.34,0.00,0.00,1160.34,34.01,0.00,0.00
16.00,248.31,11.44,0.00,0.00,1241.56,34.32,0.00,0.00
17.00,265.69,11.54,0.00,0.00,1328.47,34.62,0.00,0.00
18.00,284.29,11.65,0.00,0.00,1421.47,34.94,0.00,0.00
19.00,304.19,11.75,0.00,0.00,1520.97,35.25,0.00,0.00
20.00,325.49,11.86,0.00,0.00,1627.44,35.57,0.00,0.00
21.00,348.27,11.96,0.00,0.00,1741.36,35.89,0.00,0.00
22.00,372.65,12.07,0.00,0.00,1863.25,36.21,0.00,0.00
23.00,398.74,12.18,0.00,0.00,1993.68,36.54,0.00,0.00
24.00,426.65,12.29,0.00,0.00,2133.24,36.87,0.00,0.00
25.00,456.51,12.40,0.00,0.00,2739.08,37.20,0.00,0.00
26.00,488.47,12.51,0.00,0.00,2442.34,37.53,0.00,0.00
27.00,522.66,12.62,0.00,0.00,2613.31,37.87,0.00,0.00
28.00,559.25,12.74,0.00,0.00,2796.24,38.21,0.00,0.00
29.00,598.40,12.85,0.00,0.00,2991.98,38.55,0.00,0.00
30.00,640.28,12.97,0.00,0.00,3201.42,38.90,0.00,0.00
31.00,685.10,13.08,0.00,0.00,3425.51,39.25,0.00,0.00
32.00,733.06,13.20,0.00,0.00,3665.30,39.60,0.00,0.00
33.00,784.37,13.32,0.00,0.00,3921.87,39.96,0.00,0.00
34.00,839.28,13.44,0.00,0.00,4196.40,40.32,0.00,0.00
35.00,898.03,13.56,0.00,0.00,4490.15,40.68,0.00,0.00
36.00,960.89,13.68,0.00,0.00,4804.46,41.05,0.00,0.00
37.00,1028.15,13.81,0.00,0.00,5140.77,41.42,0.00,0.00
38.00,1100.13,13.93,0.00,0.00,5500.63,41.79,0.00,0.00
39.00,1177.13,14.06,0.00,0.00,5885.67,42.17,0.00,0.00
40.00,1259.53,14.18,0.00,0.00,6297.67,42.55,0.00,0.00
41.00,1347.70,14.31,0.00,0.00,6738.51,42.93,0.00,0.00
42.00,1442.04,14.44,0.00,0.00,7210.20,43.32,0.00,0.00
43.00,1542.98,14.57,0.00,0.00,7714.92,43.71,0.00,0.00
44.00,1650.99,14.70,0.00,0.00,8254.96,44.10,0.00,0.00
45.00,1766.56,14.83,0.00,0.00,8832.81,44.50,0.00,0.00
46.00,1890.22,14.97,0.00,0.00,9451.10,44.90,0.00,0.00
47.00,2022.54,15.10,0.00,0.00,10112.68,45.30,0.00,0.00
48.00,2164.11,15.24,0.00,0.00,10820.57,45.71,0.00,0.00
49.00,2315.60,15.37,0.00,0.00,11578.01,46.12,0.00,0.00
50.00,2477.69,15.51,0.00,0.00,14866.16,46.54,0.00,0.00
51.00,2824.57,15.65,0.00,0.00,14122.85,46.95,0.00,0.00
52.00,3022.29,15.79,0.00,0.00,15111.45,47.38,0.00,0.00
53.00,3233.85,15.93,0.00,0.00,16169.26,47.80,0.00,0.00
54.00,3460.22,16.08,0.00,0.00,17301.10,48.23,0.00,0.00
55.00,3702.44,16.22,0.00,0.00,18512.18,48.67,0.00,0.00
56.00,3961.61,16.37,0.00,0.00,19808.03,49.11,0.00,0.00
57.00,4238.92,16.52,0.00,0.00,21194.60,49.55,0.00,0.00
58.00,4535.64,16.66,0.00,0.00,22678.22,49.99,0.00,0.00
59.00,4853.14,16.81,0.00,0.00,24265.69,50.44,0.00,0.00
60.00,5192.86,16.97,0.00,0.00,25964.29,50.90,0.00,0.00
61.00,5556.36,17.12,0.00,0.00,27781.79,51.36,0.00,0.00
62.00,5945.30,17.27,0.00,0.00,29726.52,51.82,0.00,0.00
63.00,6361.47,17.43,0.00,0.00,31807.37,52.28,0.00,0.00
64.00,6806.78,17.59,0.00,0.00,34033.89,52.76,0.00,0.00
65.00,7283.25,17.74,0.00,0.00,36416.26,53.23,0.00,0.00
66.00,7793.08,17.90,0.00,0.00,38965.40,53.71,0.00,0.00
67.00,8338.60,18.06,0.00,0.00,41692.98,54.19,0.00,0.00
68.00,8922.30,18.23,0.00,0.00,44611.49,54.68,0.00,0.00
69.00,9546.86,18.39,0.00,0.00,47734.29,55.17,0.00,0.00
70.00,10215.14,18.56,0.00,0.00,51075.69,55.67,0.00,0.00
71.00,10930.20,18.72,0.00,0.00,54650.99,56.17,0.00,0.00
72.00,11695.31,18.89,0.00,0.00,58476.56,56.68,0.00,0.00
73.00,12513.98,19.06,0.00,0.00,62569.92,57.19,0.00,0.00
74.00,13389.96,19.23,0.00,0.00,66949.81,57.70,0.00,0.00
75.00,14327.26,19.41,0.00,0.00,107454.45,58.22,0.00,0.00
76.00,15330.17,19.58,0.00,0.00,76650.84,58.74,0.00,0.00
77.00,16403.28,19.76,0.00,0.00,82016.40,59.27,0.00,0.00
78.00,17551.51,19.94,0.00,0.00,87757.55,59.81,0.00,0.00
79.00,18780.11,20.11,0.00,0.00,93900.57,60.34,0.00,0.00
80.00,20094.72,20.30,0.00,0.00,100473.61,60.89,0.00,0.00
81.00,22907.98,20.48,0.00,0.00,114539.92,61.43,0.00,0.00
82.00,24511.54,20.66,0.00,0.00,122557.71,61.99,0.00,0.00
83.00,26227.35,20.85,0.00,0.00,131136.75,62.55,0.00,0.00
84.00,28063.27,21.04,0.00,0.00,140316.33,63.11,0.00,0.00
85.00,30027.69,21.23,0.00,0.00,150138.47,63.68,0.00,0.00
86.00,32129.63,21.42,0.00,0.00,160648.16,64.25,0.00,0.00
87.00,34378.71,21.61,0.00,0.00,171893.53,64.83,0.00,0.00
88.00,36785.22,21.80,0.00,0.00,183926.08,65.41,0.00,0.00
89.00,39360.18,22.00,0.00,0.00,196800.91,66.00,0.00,0.00
90.00,42115.39,22.20,0.00,0.00,210576.97,66.59,0.00,0.00
91.00,48011.55,22.40,0.00,0.00,240057.75,67.19,0.00,0.00
92.00,51372.36,22.60,0.00,0.00,256861.79,67.80,0.00,0.00
93.00,54968.42,22.80,0.00,0.00,274842.11,68.41,0.00,0.00
94.00,58816.21,23.01,0.00,0.00,294081.06,69.02,0.00,0.00
95.00,62933.35,23.22,0.00,0.00,314666.74,69.65,0.00,0.00
96.00,67338.68,23.42,0.00,0.00,336693.41,70.27,0.00,0.00
97.00,72052.39,23.63,0.00,0.00,360261.95,70.90,0.00,0.00
98.00,77096.06,23.85,0.00,0.00,385480.28,71.54,0.00,0.00
99.00,82492.78,24.06,0.00,0.00,412463.90,72.19,0.00,0.00
100.00,88267.28,24.28,0.00,0.00,662004.57,72.84,0.00,0.00
101.00,94445.98,24.50,0.00,0.00,472229.92,73.49,0.00,0.00
102.00,101057.20,24.72,0.00,0.00,505286.02,74.15,0.00,0.00
103.00,108131.21,24.94,0.00,0.00,540656.04,74.82,0.00,0.00
104.00,115700.39,25.16,0.00,0.00,578501.96,75.49,0.00,0.00
105.00,123799.42,25.39,0.00,0.00,618997.10,76.17,0.00,0.00
106.00,132465.38,25.62,0.00,0.00,662326.90,76.86,0.00,0.00
107.00,141737.96,25.85,0.00,0.00,708689.78,77.55,0.00,0.00
108.00,151659.61,26.08,0.00,0.00,758298.06,78.25,0.00,0.00
109.00,162275.79,26.32,0.00,0.00,811378.93,78.95,0.00,0.00
110.00,173635.09,26.55,0.00,0.00,868175.45,79.66,0.00,0.00
111.00,185789.55,26.79,0.00,0.00,928947.73,80.38,0.00,0.00
112.00,198794.82,27.03,0.00,0.00,993974.08,81.10,0.00,0.00
113.00,212710.45,27.28,0.00,0.00,1063552.26,81.83,0.00,0.00
114.00,227600.18,27.52,0.00,0.00,1138000.92,82.57,0.00,0.00
115.00,243532.20,27.77,0.00,0.00,1217660.98,83.31,0.00,0.00
116.00,260579.45,28.02,0.00,0.00,1302897.25,84.06,0.00,0.00
117.00,278820.01,28.27,0.00,0.00,1394100.06,84.82,0.00,0.00
118.00,298337.41,28.53,0.00,0.00,1491687.07,85.58,0.00,0.00
119.00,319221.03,28.78,0.00,0.00,1596105.16,86.35,0.00,0.00
120.00,341566.50,29.04,0.00,0.00,1707832.52,87.13,0.00,0.00
121.00,365476.16,29.30,0.00,0.00,1827380.80,87.91,0.00,0.00
122.00,391059.49,29.57,0.00,0.00,1955297.45,88.71,0.00,0.00
123.00,418433.66,29.83,0.00,0.00,2092168.28,89.50,0.00,0.00
124.00,447724.01,30.10,0.00,0.00,2238620.05,90.31,0.00,0.00
125.00,479064.69,30.37,0.00,0.00,2874388.15,91.12,0.00,0.00
126.00,512599.22,30.65,0.00,0.00,2562996.10,91.94,300.00,150.00
127.00,548481.17,30.92,0.00,0.00,2742405.83,92.77,600.00,300.00
128.00,586874.85,31.20,0.00,0.00,2934374.24,93.61,900.00,450.00
129.00,627956.09,31.48,0.00,0.00,3139780.43,94.45,1200.00,600.00
