 스테이지|일반 몬스터 체력|일반 몬스터 공격력|일반 몬스터 외공 방어력|일반 몬스터 내공 방어력|보스 몬스터 체력|보스 몬스터 공격력|보스 몬스터 외공 방어력|보스 몬스터 내공 방어력
Stage|Monster_HP|Monster_Attack|Monster_ExtPowArmor|Monster_InnPowArmor|Boss_HP|Boss_Atk|Boss_ExtPowArmor|Boss_InnPowArmor
int|long|float|long|long|long|float|long|long
1|50.00|2.00|0.00|0.00|500.00|6.00|0.00|0.00
2|53.50|2.02|0.00|0.00|1003.50|6.05|0.00|0.00
3|57.25|2.04|0.00|0.00|1510.75|6.11|0.00|0.00
4|61.25|2.05|0.00|0.00|2022.00|6.16|0.00|0.00
5|65.54|2.07|0.00|0.00|2537.54|6.22|0.00|0.00
6|70.13|2.09|0.00|0.00|3057.66|6.27|0.00|0.00
7|75.04|2.11|0.00|0.00|3582.70|6.33|0.00|0.00
8|80.29|2.13|0.00|0.00|4112.99|6.39|0.00|0.00
9|85.91|2.15|0.00|0.00|4648.90|6.45|0.00|0.00
10|91.92|2.17|0.00|0.00|5190.82|6.50|0.00|0.00
11|98.36|2.19|0.00|0.00|5739.18|6.56|0.00|0.00
12|105.24|2.21|0.00|0.00|6294.42|6.62|0.00|0.00
13|112.61|2.23|0.00|0.00|6857.03|6.68|0.00|0.00
14|120.49|2.25|0.00|0.00|7427.52|6.74|0.00|0.00
15|128.93|2.27|0.00|0.00|8006.45|6.80|0.00|0.00
16|137.95|2.29|0.00|0.00|8594.40|6.86|0.00|0.00
17|147.61|2.31|0.00|0.00|9192.01|6.92|0.00|0.00
18|157.94|2.33|0.00|0.00|9799.95|6.99|0.00|0.00
19|169.00|2.35|0.00|0.00|10418.95|7.05|0.00|0.00
20|180.83|2.37|0.00|0.00|11049.77|7.11|0.00|0.00
21|193.48|2.39|0.00|0.00|11693.26|7.18|0.00|0.00
22|207.03|2.41|0.00|0.00|12350.29|7.24|0.00|0.00
23|221.52|2.44|0.00|0.00|13021.81|7.31|0.00|0.00
24|237.03|2.46|0.00|0.00|13708.83|7.37|0.00|0.00
25|253.62|2.48|0.00|0.00|16468.78|7.44|0.00|0.00
26|271.37|2.50|0.00|0.00|14430.21|7.51|0.00|0.00
27|290.37|2.52|0.00|0.00|15170.57|7.57|0.00|0.00
28|310.69|2.55|0.00|0.00|15931.27|7.64|0.00|0.00
29|332.44|2.57|0.00|0.00|16713.71|7.71|0.00|0.00
30|355.71|2.59|0.00|0.00|17519.42|7.78|0.00|0.00
31|380.61|2.62|0.00|0.00|18350.03|7.85|0.00|0.00
32|407.26|2.64|0.00|0.00|19207.29|7.92|0.00|0.00
33|435.76|2.66|0.00|0.00|20093.05|7.99|0.00|0.00
34|466.27|2.69|0.00|0.00|21009.32|8.06|0.00|0.00
35|498.91|2.71|0.00|0.00|21958.23|8.14|0.00|0.00
36|533.83|2.74|0.00|0.00|22942.05|8.21|0.00|0.00
37|571.20|2.76|0.00|0.00|23963.25|8.28|0.00|0.00
38|611.18|2.79|0.00|0.00|25024.43|8.36|0.00|0.00
39|653.96|2.81|0.00|0.00|26128.40|8.43|0.00|0.00
40|699.74|2.84|0.00|0.00|27278.14|8.51|0.00|0.00
41|748.72|2.86|0.00|0.00|28476.86|8.59|0.00|0.00
42|801.13|2.89|0.00|0.00|29727.99|8.66|0.00|0.00
43|857.21|2.91|0.00|0.00|31035.21|8.74|0.00|0.00
44|917.22|2.94|0.00|0.00|32402.42|8.82|0.00|0.00
45|981.42|2.97|0.00|0.00|33833.85|8.90|0.00|0.00
46|1050.12|2.99|0.00|0.00|35333.97|8.98|0.00|0.00
47|1123.63|3.02|0.00|0.00|36907.60|9.06|0.00|0.00
48|1202.29|3.05|0.00|0.00|38559.89|9.14|0.00|0.00
49|1286.45|3.07|0.00|0.00|40296.33|9.22|0.00|0.00
50|1376.50|3.10|0.00|0.00|48167.28|9.31|0.00|0.00
51|1569.21|3.13|0.00|0.00|42315.54|9.39|0.00|0.00
52|1679.05|3.16|0.00|0.00|44444.59|9.48|0.00|0.00
53|1796.58|3.19|0.00|0.00|46691.17|9.56|0.00|0.00
54|1922.34|3.22|0.00|0.00|49063.52|9.65|0.00|0.00
55|2056.91|3.24|0.00|0.00|51570.43|9.73|0.00|0.00
56|2200.89|3.27|0.00|0.00|54221.32|9.82|0.00|0.00
57|2354.96|3.30|0.00|0.00|57026.27|9.91|0.00|0.00
58|2519.80|3.33|0.00|0.00|59996.08|10.00|0.00|0.00
59|2696.19|3.36|0.00|0.00|63142.26|10.09|0.00|0.00
60|2884.92|3.39|0.00|0.00|66477.18|10.18|0.00|0.00
61|3086.87|3.42|0.00|0.00|70014.05|10.27|0.00|0.00
62|3302.95|3.45|0.00|0.00|73767.00|10.36|0.00|0.00
63|3534.15|3.49|0.00|0.00|77751.15|10.46|0.00|0.00
64|3781.54|3.52|0.00|0.00|81982.69|10.55|0.00|0.00
65|4046.25|3.55|0.00|0.00|86478.94|10.65|0.00|0.00
66|4329.49|3.58|0.00|0.00|91258.43|10.74|0.00|0.00
67|4632.55|3.61|0.00|0.00|96340.99|10.84|0.00|0.00
68|4956.83|3.65|0.00|0.00|101747.82|10.94|0.00|0.00
69|5303.81|3.68|0.00|0.00|107501.63|11.03|0.00|0.00
70|5675.08|3.71|0.00|0.00|113626.70|11.13|0.00|0.00
71|6072.33|3.74|0.00|0.00|120149.04|11.23|0.00|0.00
72|6497.40|3.78|0.00|0.00|127096.43|11.34|0.00|0.00
73|6952.21|3.81|0.00|0.00|134498.64|11.44|0.00|0.00
74|7438.87|3.85|0.00|0.00|142387.51|11.54|0.00|0.00
75|7959.59|3.88|0.00|0.00|200632.73|11.64|0.00|0.00
76|8516.76|3.92|0.00|0.00|151354.27|11.75|0.00|0.00
77|9112.93|3.95|0.00|0.00|160917.21|11.85|0.00|0.00
78|9750.84|3.99|0.00|0.00|171118.04|11.96|0.00|0.00
79|10433.40|4.02|0.00|0.00|182001.44|12.07|0.00|0.00
80|11163.73|4.06|0.00|0.00|193615.18|12.18|0.00|0.00
81|12726.66|4.10|0.00|0.00|206791.83|12.29|0.00|0.00
82|13617.52|4.13|0.00|0.00|220859.36|12.40|0.00|0.00
83|14570.75|4.17|0.00|0.00|235880.11|12.51|0.00|0.00
84|15590.70|4.21|0.00|0.00|251920.81|12.62|0.00|0.00
85|16682.05|4.25|0.00|0.00|269052.86|12.74|0.00|0.00
86|17849.80|4.28|0.00|0.00|287352.66|12.85|0.00|0.00
87|19099.28|4.32|0.00|0.00|306901.94|12.97|0.00|0.00
88|20436.23|4.36|0.00|0.00|327788.17|13.08|0.00|0.00
89|21866.77|4.40|0.00|0.00|350104.94|13.20|0.00|0.00
90|23397.44|4.44|0.00|0.00|373952.38|13.32|0.00|0.00
91|26673.08|4.48|0.00|0.00|401075.46|13.44|0.00|0.00
92|28540.20|4.52|0.00|0.00|430065.66|13.56|0.00|0.00
93|30538.01|4.56|0.00|0.00|461053.68|13.68|0.00|0.00
94|32675.67|4.60|0.00|0.00|494179.35|13.80|0.00|0.00
95|34962.97|4.64|0.00|0.00|529592.32|13.93|0.00|0.00
96|37410.38|4.68|0.00|0.00|567452.70|14.05|0.00|0.00
97|40029.11|4.73|0.00|0.00|607931.80|14.18|0.00|0.00
98|42831.14|4.77|0.00|0.00|651212.95|14.31|0.00|0.00
99|45829.32|4.81|0.00|0.00|697492.27|14.44|0.00|0.00
100|49037.38|4.86|0.00|0.00|991101.94|14.57|0.00|0.00
101|52469.99|4.90|0.00|0.00|750412.26|14.70|0.00|0.00
102|56142.89|4.94|0.00|0.00|807005.15|14.83|0.00|0.00
103|60072.89|4.99|0.00|0.00|867528.05|14.96|0.00|0.00
104|64278.00|5.03|0.00|0.00|932256.04|15.10|0.00|0.00
105|68777.46|5.08|0.00|0.00|1001483.50|15.23|0.00|0.00
106|73591.88|5.12|0.00|0.00|1075525.37|15.37|0.00|0.00
107|78743.31|5.17|0.00|0.00|1154718.68|15.51|0.00|0.00
108|84255.34|5.22|0.00|0.00|1239424.02|15.65|0.00|0.00
109|90153.21|5.26|0.00|0.00|1330027.24|15.79|0.00|0.00
110|96463.94|5.31|0.00|0.00|1426941.18|15.93|0.00|0.00
111|103216.41|5.36|0.00|0.00|1530607.59|16.08|0.00|0.00
112|110441.56|5.41|0.00|0.00|1641499.16|16.22|0.00|0.00
113|118172.47|5.46|0.00|0.00|1760121.63|16.37|0.00|0.00
114|126444.55|5.50|0.00|0.00|1887016.18|16.51|0.00|0.00
115|135295.66|5.55|0.00|0.00|2022761.84|16.66|0.00|0.00
116|144766.36|5.60|0.00|0.00|2167978.20|16.81|0.00|0.00
117|154900.01|5.65|0.00|0.00|2323328.21|16.96|0.00|0.00
118|165743.01|5.71|0.00|0.00|2489521.22|17.12|0.00|0.00
119|177345.02|5.76|0.00|0.00|2667316.23|17.27|0.00|0.00
120|189759.17|5.81|0.00|0.00|2857525.40|17.43|0.00|0.00
121|203042.31|5.86|0.00|0.00|3061017.71|17.58|0.00|0.00
122|217255.27|5.91|0.00|0.00|3278722.99|17.74|0.00|0.00
123|232463.14|5.97|0.00|0.00|3511636.13|17.90|0.00|0.00
124|248735.56|6.02|0.00|0.00|3760821.69|18.06|0.00|0.00
125|266147.05|6.07|0.00|0.00|4591541.99|18.22|0.00|0.00
126|284777.34|6.13|0.00|0.00|4046049.03|18.39|300.00|150.00
127|304711.76|6.18|0.00|0.00|4351210.79|18.55|600.00|300.00
128|326041.58|6.24|0.00|0.00|4677702.37|18.72|900.00|450.00
129|348864.49|6.30|0.00|0.00|5027016.87|18.89|1200.00|600.00
130|373285.01|6.35|0.00|0.00|5400751.87|19.06|1500.00|750.00
131|399414.96|6.41|0.00|0.00|5800616.83|19.23|1800.00|900.00
132|427374.00|6.47|0.00|0.00|6228440.84|19.40|2100.00|1050.00
133|457290.18|6.53|0.00|0.00|6686181.02|19.58|2400.00|1200.00
134|489300.50|6.58|0.00|0.00|7175931.52|19.75|2700.00|1350.00
135|523551.53|6.64|0.00|0.00|7699933.05|19.93|3000.00|1500.00
136|560200.14|6.70|0.00|0.00|8260583.19|20.11|3300.00|1650.00
