 Stage|계산용|계산용|계산용|Offline_Gold|Offline_Spirit|Offline_Exp|Offline_Spiritstone|Offline_Equipment_Summon_Ticket|Offline_Hero_Summon_Ticket
1|0.5|0.75|6.90|14.79|9.76|8.50|0|0|0
2|0.54|0.81|7.45|15.97|10.54|17.00|0|0|0.2
3|0.60|0.90|8.28|17.74|11.71|25.50|0|0|0.2
4|0.68|1.02|9.38|20.11|13.27|34.00|0|0|0.2
5|0.78|1.17|10.76|23.07|15.22|42.50|0|0|0.2
6|0.90|1.35|12.42|26.61|17.57|51.00|0|0|0.2
7|1.04|1.56|14.35|30.75|20.30|59.50|0|0|0.2
8|1.20|1.80|16.56|35.49|23.42|68.00|0|0|0.2
9|1.38|2.07|19.04|40.81|26.93|76.50|0|0|0.2
10|1.58|2.37|21.80|46.72|30.84|85.00|0|0|0.2
11|1.80|2.70|24.84|53.23|35.13|93.50|0|0|0.2
12|2.04|3.06|28.15|60.33|39.81|102.00|0|0|0.2
13|2.30|3.45|31.74|68.01|44.89|110.50|0|0|0.2
14|2.58|3.87|35.60|76.29|50.35|119.00|0|0|0.2
15|2.88|4.32|39.74|85.17|56.21|127.50|0|0|0.2
16|3.20|4.80|44.16|94.63|62.45|136.00|0|0|0.2
17|3.54|5.31|48.85|104.68|69.09|144.50|0|0|0.2
18|3.90|5.85|53.82|115.33|76.12|153.00|0|0|0.2
19|4.28|6.42|59.06|126.57|83.53|161.50|0|0|0.2
20|4.68|7.02|64.58|138.39|91.34|170.00|0|0|0.2
21|5.10|7.65|70.38|150.81|99.54|178.50|0|0|0.2
22|5.54|8.31|76.45|163.83|108.12|187.00|0|0|0.2
23|6.00|9.00|82.80|177.43|117.10|195.50|0|0|0.2
24|6.48|9.72|89.42|191.62|126.47|204.00|0|0|0.2
25|6.98|10.47|96.32|206.41|136.23|212.50|0|0|0.2
26|7.50|11.25|103.50|221.79|146.38|221.00|0|0|0.2
27|8.04|12.06|110.95|237.75|156.92|229.50|0|0|0.2
28|8.60|12.90|118.68|254.31|167.85|238.00|0|0|0.2
29|9.18|13.77|126.68|271.47|179.17|246.50|0|0|0.2
30|9.78|14.67|134.96|289.21|190.88|255.00|0|0|0.2
31|10.40|15.60|143.52|307.54|202.98|263.50|0|0|0.2
32|11.04|16.56|152.35|326.47|215.47|272.00|0|0|0.2
33|11.70|17.55|161.46|345.99|228.35|280.50|0|0|0.2
34|12.38|18.57|170.84|366.09|241.62|289.00|0|0|0.2
35|13.08|19.62|180.50|386.79|255.28|297.50|0|0|0.2
36|13.80|20.70|190.44|408.09|269.34|306.00|0|0|0.2
37|14.54|21.81|200.65|429.97|283.78|314.50|0|0|0.2
38|15.30|22.95|211.14|452.44|298.61|323.00|0|0|0.2
39|16.08|24.12|221.90|475.51|313.84|331.50|0|0|0.2
40|16.88|25.32|232.94|499.17|329.45|340.00|0|0|0.2
41|17.70|26.55|244.26|523.41|345.45|348.50|0|0|0.2
42|18.54|27.81|255.85|548.25|361.85|357.00|0|0|0.2
43|19.40|29.10|267.72|573.69|378.63|365.50|0|0|0.2
44|20.28|30.42|279.86|599.71|395.81|374.00|0|0|0.2
45|21.18|31.77|292.28|626.32|413.37|382.50|0|0|0.2
46|22.10|33.15|304.98|653.53|431.33|391.00|0|0|0.2
47|23.04|34.56|317.95|681.33|449.67|399.50|0|0|0.2
48|24.00|36.00|331.20|709.71|468.41|408.00|0|0|0.2
49|24.98|37.47|344.72|738.69|487.54|416.50|0|0|0.2
50|25.98|38.97|358.52|768.27|507.06|425.00|0|0|0.2
51|27.00|40.50|372.60|798.43|526.96|433.50|0|0|0.2
52|28.04|42.06|386.95|829.18|547.26|442.00|0|0|0.2
53|29.10|43.65|401.58|860.53|567.95|450.50|0|0|0.2
54|30.18|45.27|416.48|892.47|589.03|459.00|0|0|0.2
55|31.28|46.92|431.66|924.99|610.50|467.50|0|0|0.2
56|32.40|48.60|447.12|958.11|632.36|476.00|0|0|0.2
57|33.54|50.31|462.85|991.83|654.60|484.50|0|0|0.2
58|34.70|52.05|478.86|1026.13|677.24|493.00|0|0|0.2
