출석 날짜, 오프라인 1시간 당 골드, 오프라인 1시간 당 혼백,용옥,레어 상자,등용패,장비패,연마석,전설 영웅 뽑기권,특급 영웅 뽑기권
Day, Gold_Per_Hour, Spirit_Per_Hour,Crystal,RareBox,Gacha_Hero,Gacha_Equipment,GrindingStone,Gacha_Legend_Hero,Gacha_Unique_Hero
int, float, float, float, float, float, float, float, float, float
1,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.00,0.00,"1,000.00",0.00,0.00,0.00,0.00,0.00,0.00
3,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00
4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
5,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
8,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00
9,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
10,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
12,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00
13,0.00,0.00,"3,000.00",0.00,0.00,0.00,0.00,0.00,0.00
14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
