QuestID,QuestName,QuestType,QuestTarget,ValueGoal,RewardID,RewardType,RewardCount
QR001,요괴 처치,3,Monster,10,11002,1,500
QR002,체력 강화,3,Vital,10,11001,1,10
QR003,외공 강화,3,ExtPow,10,11001,1,10
QR004,내공 강화,3,InnPow,10,11001,1,10
QR005,상자 열기,3,Box,10,11005,1,10
QR006,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR007,장비 뽑기,3,Gacha2,10,11007,1,300
QR008,캐릭터 공력 상승,3,Growth,1,11003,1,500
QR009,스테이지 클리어,3,Stage,1,11001,1,10
QR010,요괴 처치,3,Monster,20,11002,1,600
QR011,체력 강화,3,Vital,10,11001,1,10
QR012,외공 강화,3,ExtPow,10,11001,1,10
QR013,내공 강화,3,InnPow,10,11001,1,10
QR014,상자 열기,3,Box,10,11005,1,10
QR015,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR016,장비 뽑기,3,Gacha2,10,11007,1,300
QR017,캐릭터 공력 상승,3,Growth,2,11003,1,600
QR018,스테이지 클리어,3,Stage,1,11001,1,10
QR019,요괴 처치,3,Monster,30,11002,1,700
QR020,체력 강화,3,Vital,10,11001,1,10
QR021,외공 강화,3,ExtPow,10,11001,1,10
QR022,내공 강화,3,InnPow,10,11001,1,10
QR023,상자 열기,3,Box,10,11005,1,10
QR024,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR025,장비 뽑기,3,Gacha2,10,11007,1,300
QR026,캐릭터 공력 상승,3,Growth,3,11003,1,700
QR027,스테이지 클리어,3,Stage,1,11001,1,10
QR028,요괴 처치,3,Monster,40,11002,1,800
QR029,체력 강화,3,Vital,10,11001,1,10
QR030,외공 강화,3,ExtPow,10,11001,1,10
QR031,내공 강화,3,InnPow,10,11001,1,10
QR032,상자 열기,3,Box,10,11005,1,10
QR033,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR034,장비 뽑기,3,Gacha2,10,11007,1,300
QR035,캐릭터 공력 상승,3,Growth,4,11003,1,800
QR036,스테이지 클리어,3,Stage,1,11001,1,10
QR037,요괴 처치,3,Monster,50,11002,1,900
QR038,체력 강화,3,Vital,10,11001,1,10
